Date,Order,Shares,Symbol
2009-04-08,SELL,200.0,IBM
2009-04-09,BUY,100.0,IBM
2009-04-14,SELL,100.0,IBM
2009-04-15,BUY,200.0,IBM
2009-04-16,SELL,100.0,IBM
2009-04-17,SELL,100.0,IBM
2009-04-21,BUY,100.0,IBM
2009-04-22,BUY,100.0,IBM
2009-04-23,SELL,100.0,IBM
2009-04-24,BUY,100.0,IBM
2009-04-28,SELL,100.0,IBM
2009-05-01,SELL,100.0,IBM
2009-05-05,BUY,100.0,IBM
2009-05-18,BUY,100.0,IBM
2009-05-19,SELL,200.0,IBM
2009-05-20,BUY,200.0,IBM
2009-05-22,SELL,100.0,IBM
2009-05-26,BUY,100.0,IBM
2009-06-01,SELL,200.0,IBM
2009-06-03,BUY,100.0,IBM
2009-06-10,SELL,100.0,IBM
2009-06-11,BUY,100.0,IBM
2009-06-12,SELL,100.0,IBM
2009-06-15,BUY,100.0,IBM
2009-06-16,BUY,100.0,IBM
2009-06-17,SELL,100.0,IBM
2009-06-29,SELL,100.0,IBM
2009-06-30,BUY,100.0,IBM
2009-07-02,BUY,100.0,IBM
2009-07-06,SELL,100.0,IBM
2009-07-07,SELL,100.0,IBM
2009-07-08,BUY,200.0,IBM
2009-07-09,SELL,200.0,IBM
2009-07-10,BUY,200.0,IBM
2009-07-16,SELL,100.0,IBM
2009-07-17,BUY,100.0,IBM
2009-07-21,SELL,100.0,IBM
2009-07-24,BUY,100.0,IBM
2009-07-29,SELL,100.0,IBM
2009-08-07,BUY,100.0,IBM
2009-08-10,SELL,100.0,IBM
2009-08-14,BUY,100.0,IBM
2009-08-17,SELL,100.0,IBM
2009-08-19,BUY,100.0,IBM
2009-08-20,SELL,100.0,IBM
2009-08-25,BUY,100.0,IBM
2009-08-26,SELL,200.0,IBM
2009-08-28,BUY,100.0,IBM
2009-09-09,BUY,100.0,IBM
2009-09-15,SELL,100.0,IBM
2009-09-17,SELL,100.0,IBM
2009-09-18,BUY,100.0,IBM
2009-09-21,SELL,100.0,IBM
2009-09-22,BUY,100.0,IBM
2009-09-23,SELL,100.0,IBM
2009-09-28,BUY,100.0,IBM
2009-09-29,BUY,100.0,IBM
2009-09-30,SELL,100.0,IBM
2009-10-01,BUY,100.0,IBM
2009-10-09,SELL,200.0,IBM
2009-10-16,BUY,100.0,IBM
2009-10-20,SELL,100.0,IBM
2009-10-21,BUY,100.0,IBM
2009-10-22,SELL,100.0,IBM
2009-10-23,BUY,200.0,IBM
2009-10-26,SELL,100.0,IBM
2009-10-28,BUY,100.0,IBM
2009-11-10,SELL,100.0,IBM
2009-11-19,BUY,100.0,IBM
2009-11-20,SELL,100.0,IBM
2009-11-27,BUY,100.0,IBM
2009-12-01,SELL,100.0,IBM
2009-12-02,SELL,100.0,IBM
2009-12-03,BUY,200.0,IBM
2009-12-08,SELL,100.0,IBM
2009-12-10,SELL,100.0,IBM
2009-12-15,BUY,200.0,IBM
2009-12-16,SELL,100.0,IBM
2009-12-17,BUY,100.0,IBM
2009-12-22,SELL,100.0,IBM
